Frame,FLS0
1,"[7.06509, -23.1953, 20.45225]"
2,"[7.07724, -23.18189, 20.44654]"
3,"[7.11316, -23.14271, 20.42943]"
4,"[7.17232, -23.0796, 20.40063]"
5,"[7.25446, -22.9947, 20.35951]"
6,"[7.35949, -22.89048, 20.30519]"
7,"[7.48732, -22.76965, 20.23662]"
8,"[7.63777, -22.6352, 20.15266]"
9,"[7.81044, -22.49027, 20.05216]"
10,"[8.0046, -22.33818, 19.93405]"
11,"[8.2191, -22.18227, 19.79738]"
12,"[8.45232, -22.02586, 19.64144]"
13,"[8.70215, -21.8721, 19.4658]"
14,"[8.96599, -21.7239, 19.27036]"
15,"[9.2408, -21.58377, 19.05539]"
16,"[9.52319, -21.45378, 18.82158]"
17,"[9.80951, -21.33543, 18.57]"
18,"[10.096, -21.22962, 18.30214]"
19,"[10.37891, -21.13666, 18.01986]"
20,"[10.65469, -21.05626, 17.72533]"
21,"[10.9201, -20.98759, 17.42101]"
22,"[11.1723, -20.92937, 17.10952]"
23,"[11.409, -20.87996, 16.79362]"
24,"[11.6285, -20.83754, 16.47605]"
25,"[11.82967, -20.80016, 16.15952]"
26,"[12.01199, -20.76593, 15.84655]"
27,"[12.17547, -20.7331, 15.53946]"
28,"[12.3206, -20.70013, 15.24027]"
29,"[12.44824, -20.66583, 14.95066]"
30,"[12.55955, -20.62929, 14.67194]"
31,"[12.65583, -20.58999, 14.40503]"
32,"[12.7385, -20.54771, 14.1505]"
33,"[12.80895, -20.50256, 13.90853]"
34,"[12.86853, -20.45488, 13.679]"
35,"[12.91842, -20.40522, 13.46152]"
36,"[12.95968, -20.35429, 13.25546]"
37,"[12.99317, -20.30285, 13.06003]"
38,"[13.01955, -20.25175, 12.87436]"
39,"[13.03933, -20.2018, 12.69754]"
40,"[13.05279, -20.15383, 12.52867]"
41,"[13.06009, -20.10857, 12.36695]"
42,"[13.06121, -20.06673, 12.21171]"
42,"[13.06121, -20.06673, 12.21171]"
43,"[13.05216, -20.02146, 12.06461]"
44,"[13.03084, -19.96739, 11.92632]"
45,"[12.99977, -19.90735, 11.79521]"
46,"[12.96141, -19.844, 11.67004]"
47,"[12.91832, -19.77991, 11.54976]"
48,"[12.87316, -19.71742, 11.43349]"
49,"[12.8288, -19.65871, 11.32041]"
50,"[12.78826, -19.60576, 11.20972]"
51,"[12.7547, -19.56038, 11.10054]"
52,"[12.73138, -19.52423, 10.99195]"
53,"[12.72154, -19.49893, 10.88293]"
54,"[12.72833, -19.48612, 10.7724]"
55,"[12.75469, -19.48762, 10.65918]"
55,"[12.75469, -19.48762, 10.65918]"
56,"[12.78912, -19.49681, 10.5417]"
57,"[12.81794, -19.50541, 10.42054]"
58,"[12.84059, -19.51305, 10.2975]"
59,"[12.8565, -19.51947, 10.17415]"
60,"[12.8651, -19.52451, 10.05178]"
61,"[12.8658, -19.52807, 9.93146]"
62,"[12.85801, -19.5301, 9.81397]"
63,"[12.84111, -19.53061, 9.69987]"
64,"[12.81447, -19.52963, 9.58949]"
65,"[12.77747, -19.52726, 9.48292]"
66,"[12.72948, -19.5236, 9.38001]"
67,"[12.66994, -19.51881, 9.28044]"
68,"[12.59827, -19.51308, 9.18368]"
69,"[12.51402, -19.50662, 9.08901]"
70,"[12.41676, -19.49969, 8.99558]"
71,"[12.30622, -19.49256, 8.90236]"
72,"[12.1822, -19.48556, 8.80823]"
73,"[12.04469, -19.479, 8.71195]"
74,"[11.89379, -19.47323, 8.61222]"
75,"[11.72979, -19.46864, 8.50766]"
76,"[11.55317, -19.46558, 8.39691]"
77,"[11.36458, -19.46446, 8.27858]"
78,"[11.16488, -19.46566, 8.15134]"
79,"[10.95511, -19.46956, 8.01389]"
80,"[10.73651, -19.47655, 7.86504]"
81,"[10.51051, -19.48701, 7.70372]"
82,"[10.27869, -19.50128, 7.52898]"
83,"[10.04283, -19.5197, 7.34004]"
84,"[9.80481, -19.54258, 7.13631]"
85,"[9.56668, -19.5702, 6.91739]"
86,"[9.33055, -19.60277, 6.68307]"
87,"[9.09864, -19.64049, 6.43336]"
88,"[8.87322, -19.68346, 6.16849]"
89,"[8.65658, -19.73174, 5.88888]"
90,"[8.45102, -19.78528, 5.59515]"
91,"[8.25881, -19.84393, 5.28809]"
92,"[8.08218, -19.90743, 4.96862]"
93,"[7.92329, -19.97537, 4.6378]"
94,"[7.7842, -20.04718, 4.29673]"
95,"[7.66684, -20.1221, 3.94658]"
96,"[7.57302, -20.19916, 3.58847]"
97,"[7.50436, -20.27715, 3.22345]"
98,"[7.46228, -20.35459, 2.85244]"
99,"[7.44799, -20.42971, 2.4762]"
100,"[7.46242, -20.5004, 2.09521]"
101,"[7.50618, -20.56419, 1.70967]"
102,"[7.57953, -20.61824, 1.31945]"
103,"[7.68228, -20.6593, 0.92406]"
104,"[7.81371, -20.68371, 0.52264]"
105,"[7.97252, -20.68735, 0.11396]"
105,"[7.97252, -20.68735, 0.11396]"
106,"[8.11738, -20.63831, -0.29616]"
107,"[8.20654, -20.52501, -0.69404]"
108,"[8.24502, -20.37223, -1.06579]"
109,"[8.2453, -20.20466, -1.39316]"
110,"[8.22396, -20.04885, -1.65485]"
111,"[8.19869, -19.93381, -1.82812]"
112,"[8.18661, -19.88924, -1.89058]"
